source_code,source_description,cnt
MONOPRIL|10|mg|ORAL,MONOPRIL|dose: 10|mg|ORAL,32
TYLENOL|1|TABLET|ORAL,TYLENOL|dose: 1|TABLET|ORAL,30
PROVERA|2.5|mg|ORAL,PROVERA|dose: 2.5|mg|ORAL,30
ATIVAN|0.5|mg|ORAL,ATIVAN|dose: 0.5|mg|ORAL,30
LOPID|600|mg|ORAL,LOPID|dose: 600|mg|ORAL,29
ECOTRIN|1|TABLET|ORAL,ECOTRIN|dose: 1|TABLET|ORAL,28
ADVIL|200|mg|ORAL,ADVIL|dose: 200|mg|ORAL,28
ZINC|1|TABLET|ORAL,ZINC|dose: 1|TABLET|ORAL,27
ASPIRIN|80|mg|ORAL,ACETYLSALICYLIC ACID|dose: 80|mg|ORAL,27
SYNTHROID|0.125|mg|ORAL,SYNTHROID|dose: 0.125|mg|ORAL,26
SYNTHROID|0.1|mg|ORAL,SYNTHROID|dose: 0.1|mg|ORAL,26
THERAGRAN-M|1|TABLET|ORAL,THERAGRAN-M|dose: 1|TABLET|ORAL,26
PRINIVIL|10|mg|ORAL,PRINIVIL|dose: 10|mg|ORAL,26
LASIX|40|mg|ORAL,FUROSEMIDE|dose: 40|mg|ORAL,26
ASA|650|mg|ORAL,ASA|dose: 650|mg|ORAL,26
BETACAROTENE|1|TABLET|ORAL,BETACAROTENE|dose: 1|TABLET|ORAL,25
ZESTRIL|20|mg|ORAL,ZESTRIL|dose: 20|mg|ORAL,25
ESTROGEN NOS|0.625|mg|ORAL,ESTROGEN NOS|dose: 0.625|mg|ORAL,25
BETAGAN|0.5|mg|OPHTHALMIC,BETAGAN|dose: 0.5|mg|OPHTHALMIC,25
MYLANTA|1|TABLET|ORAL,MYLANTA|dose: 1|TABLET|ORAL,24
ATIVAN|1|TABLET|ORAL,ATIVAN|dose: 1|TABLET|ORAL,24
SYNTHROID|0.2|mg|ORAL,SYNTHROID|dose: 0.2|mg|ORAL,24
SYNTHROID|0.075|mg|ORAL,SYNTHROID|dose: 0.075|mg|ORAL,24
TUMS|1|TABLET|ORAL,TUMS|dose: 1|TABLET|ORAL,24
VITAMINS|2|TABLET|ORAL,VITAMINS|dose: 2|TABLET|ORAL,24
EXCEDRIN|2|TABLET|ORAL,EXCEDRIN|dose: 2|TABLET|ORAL,24
VITAMIN E|2|TABLET|ORAL,VITAMIN E|dose: 2|TABLET|ORAL,23
CORTISONE|0.1|mg|TOPICAL,CORTISONE|dose: 0.1|mg|TOPICAL,23
ASA|325|mg|ORAL,ASA|dose: 325|mg|ORAL,23
MAXZIDE|1|TABLET|ORAL,MAXZIDE|dose: 1|TABLET|ORAL,23
CALCIUM|600|mg|ORAL,CALCIUM|dose: 600|mg|ORAL,22
DIABETA|2.5|mg|ORAL,DIABETA|dose: 2.5|mg|ORAL,22
ZESTRIL|5|mg|ORAL,ZESTRIL|dose: 5|mg|ORAL,22
LIDEX|0.5|mg|TOPICAL,LIDEX|dose: 0.5|mg|TOPICAL,22
HYDROCHLOROTHIAZIDE|25|mg|ORAL,HYDROCHLOROTHIAZIDE|dose: 25|mg|ORAL,22
DYAZIDE|1|TABLET|ORAL,DYAZIDE|dose: 1|TABLET|ORAL,22
VITAMINS|1|TABLET|ORAL,VITAMINS|dose: 1|TABLET|ORAL,21
CHLORAL HYDRATE|500|mg|ORAL,CHLORAL HYDRATE|dose: 500|mg|ORAL,21
MILK OF MAGNESIA|1|TABLET|ORAL,MILK OF MAGNESIA|dose: 1|TABLET|ORAL,21
CALCIUM|1000|mg|ORAL,CALCIUM|dose: 1000|mg|ORAL,21
GLYBURIDE|5|mg|ORAL,GLYBURIDE|dose: 5|mg|ORAL,20
CARDURA|2|TABLET|ORAL,DOXAZOSIN MESILATE|dose: 2|TABLET|ORAL,20
FUROSEMIDE|40|mg|ORAL,FUROSEMIDE|dose: 40|mg|ORAL,19
PROVERA|1|TABLET|ORAL,PROVERA|dose: 1|TABLET|ORAL,19
PREMARIN|1|TABLET|ORAL,ESTROGENS CONJUGATED|dose: 1|TABLET|ORAL,19
HERBAL PREPARATION|1|TABLET|ORAL,HERBAL PREPARATION|dose: 1|TABLET|ORAL,19
PROPINE|1|TABLET|OPHTHALMIC,PROPINE|dose: 1|TABLET|OPHTHALMIC,18
ECOTRIN|325|mg|ORAL,ECOTRIN|dose: 325|mg|ORAL,18
LANOXIN|0.125|mg|ORAL,DIGOXIN|dose: 0.125|mg|ORAL,18
ASPIRIN|0.5|mg|ORAL,ACETYLSALICYLIC ACID|dose: 0.5|mg|ORAL,18
NEOSPORIN /USA/|1|TABLET|TOPICAL,NEOSPORIN /USA/|dose: 1|TABLET|TOPICAL,17
VITAMIN B|1|TABLET|ORAL,VITAMIN B|dose: 1|TABLET|ORAL,17
LUPRON|7.5|mg|INTRAMUSCULAR,LEUPRORELIN ACETATE|dose: 7.5|mg|INTRAMUSCULAR,17
ACETAMINOPHEN|325|mg|ORAL,ACETAMINOPHEN|dose: 325|mg|ORAL,16
VITAMIN E|1000|mg|ORAL,VITAMIN E|dose: 1000|mg|ORAL,16
MOTRIN|1|TABLET|ORAL,MOTRIN|dose: 1|TABLET|ORAL,16
LANOXIN|0.25|mg|ORAL,DIGOXIN|dose: 0.25|mg|ORAL,16
RELAFEN|500|mg|ORAL,RELAFEN|dose: 500|mg|ORAL,16
SYNTHROID|0.15|mg|ORAL,SYNTHROID|dose: 0.15|mg|ORAL,15
"HYDROCORTISONE, TOPICAL|2.5|mg|TOPICAL","HYDROCORTISONE, TOPICAL|dose: 2.5|mg|TOPICAL",15
LORAZEPAM|2|TABLET|ORAL,LORAZEPAM|dose: 2|TABLET|ORAL,14
CALTRATE|2|TABLET|ORAL,CALCIUM CARBONATE|dose: 2|TABLET|ORAL,14
ALEVE|2|TABLET|ORAL,NAPROXEN SODIUM|dose: 2|TABLET|ORAL,14
TUMS|2|TABLET|ORAL,TUMS|dose: 2|TABLET|ORAL,14
ESTROGEN NOS|0.5|mg|ORAL,ESTROGEN NOS|dose: 0.5|mg|ORAL,13
MULTIVIT|1000|mg|ORAL,MULTIVIT|dose: 1000|mg|ORAL,13
VITAMIN B COMPLEX|1|TABLET|ORAL,VITAMIN B COMPLEX|dose: 1|TABLET|ORAL,13
NORVASC|10|mg|ORAL,AMLODIPINE|dose: 10|mg|ORAL,13
BETAGAN|2|TABLET|OPHTHALMIC,BETAGAN|dose: 2|TABLET|OPHTHALMIC,13
ESTROGEN NOS|3|mg|INTRAMUSCULAR,ESTROGEN NOS|dose: 3|mg|INTRAMUSCULAR,13
MONOPRIL|20|mg|ORAL,MONOPRIL|dose: 20|mg|ORAL,13
METROGEL|0.75|mg|TOPICAL,METROGEL|dose: 0.75|mg|TOPICAL,13
VITAMIN B12|2|TABLET|ORAL,VITAMIN B12|dose: 2|TABLET|ORAL,13
EUCERIN CREME|1|TABLET|TOPICAL,EUCERIN CREME|dose: 1|TABLET|TOPICAL,13
VITAMIN B12|100|mg|ORAL,VITAMIN B12|dose: 100|mg|ORAL,13
FERROUS SULFATE|1|TABLET|ORAL,FERROUS SULFATE|dose: 1|TABLET|ORAL,13
GINKGO BILOBA|1|TABLET|ORAL,GINKGO BILOBA|dose: 1|TABLET|ORAL,13
ZINC|50|mg|ORAL,ZINC|dose: 50|mg|ORAL,13
TICLID|10|mg|ORAL,TICLID|dose: 10|mg|ORAL,13
VITAMIN E|200|mg|ORAL,VITAMIN E|dose: 200|mg|ORAL,13
PROVERA|10|mg|ORAL,PROVERA|dose: 10|mg|ORAL,13
CENTRAL-VITE|1|TABLET|ORAL,CENTRAL-VITE|dose: 1|TABLET|ORAL,13
PREMPHASE|0.625|mg|ORAL,PREMPHASE|dose: 0.625|mg|ORAL,13
IRON|325|mg|ORAL,IRON|dose: 325|mg|ORAL,13
IMITREX|6|mg|SUBCUTANEOUS,SUMATRIPTAN|dose: 6|mg|SUBCUTANEOUS,13
NORVASC|2.5|mg|ORAL,AMLODIPINE|dose: 2.5|mg|ORAL,13
RELAFEN|325|mg|ORAL,RELAFEN|dose: 325|mg|ORAL,13
VITAMIN D|1|TABLET|ORAL,VITAMIN D|dose: 1|TABLET|ORAL,13
IRON|1|TABLET|ORAL,IRON|dose: 1|TABLET|ORAL,13
VITAMIN E|100|mg|ORAL,VITAMIN E|dose: 100|mg|ORAL,13
ASPIRIN (E.C.)|325|mg|ORAL,ASPIRIN (E.C.)|dose: 325|mg|ORAL,13
LASIX|10|mg|ORAL,FUROSEMIDE|dose: 10|mg|ORAL,13
ASPIRIN|800|mg|ORAL,ACETYLSALICYLIC ACID|dose: 800|mg|ORAL,13
CALCIUM|1200|mg|ORAL,CALCIUM|dose: 1200|mg|ORAL,13
DHEA|500|mg|ORAL,DHEA|dose: 500|mg|ORAL,13
SYNTHROID|100|mg|ORAL,SYNTHROID|dose: 100|mg|ORAL,13
TRIAMCINOLONE|0.5|mg|TOPICAL,TRIAMCINOLONE|dose: 0.5|mg|TOPICAL,13
ASA|1|TABLET|ORAL,ASA|dose: 1|TABLET|ORAL,13
IBUPROFEN|400|mg|ORAL,IBUPROFEN|dose: 400|mg|ORAL,13
GAS-X|1|TABLET|ORAL,SIMETICONE|dose: 1|TABLET|ORAL,13
PSYLLIUM HYDROPHILIC MUCILLOID|1|TABLET|ORAL,PSYLLIUM HYDROPHILIC MUCILLOID|dose: 1|TABLET|ORAL,13
AXID|75|mg|ORAL,NIZATIDINE|dose: 75|mg|ORAL,13
QUININE SULFATE|260|mg|ORAL,QUININE SULFATE|dose: 260|mg|ORAL,13
METAMUCIL|1.5|mg|ORAL,METAMUCIL|dose: 1.5|mg|ORAL,13
EX-LAX|1|TABLET|ORAL,EX-LAX|dose: 1|TABLET|ORAL,13
LEVOTHROID|0.15|mg|ORAL,LEVOTHROID|dose: 0.15|mg|ORAL,13
B COMPLEX|2|TABLET|ORAL,B COMPLEX|dose: 2|TABLET|ORAL,13
B COMPLEX|1|TABLET|ORAL,B COMPLEX|dose: 1|TABLET|ORAL,13
ESTROGEN NOS|0||TRANSDERMAL,ESTROGEN NOS|dose: 0||TRANSDERMAL,13
NIACIN|1000|mg|ORAL,NIACIN|dose: 1000|mg|ORAL,13
MAALOX|1|TABLET|ORAL,ALGELDRATE|dose: 1|TABLET|ORAL,13
QUESTRAN|0.5|mg|ORAL,QUESTRAN|dose: 0.5|mg|ORAL,13
NORVASC|25|mg|ORAL,AMLODIPINE|dose: 25|mg|ORAL,13
K-DUR|10|mg|ORAL,K-DUR|dose: 10|mg|ORAL,13
GINSENG|500|mg|ORAL,GINSENG|dose: 500|mg|ORAL,13
"HYDROCORTISONE, TOPICAL|2|TABLET|TOPICAL","HYDROCORTISONE, TOPICAL|dose: 2|TABLET|TOPICAL",13
MAALOX|3|mg|ORAL,ALGELDRATE|dose: 3|mg|ORAL,13
MEVACOR|40|mg|ORAL,MEVACOR|dose: 40|mg|ORAL,13
MULTIVITAMINS|2|TABLET|ORAL,MULTIVITAMINS|dose: 2|TABLET|ORAL,13
SYNTHROID|0.088|mg|ORAL,SYNTHROID|dose: 0.088|mg|ORAL,13
PREMARIN|1.25|mg|ORAL,ESTROGENS CONJUGATED|dose: 1.25|mg|ORAL,13
PREDNISONE|1|TABLET|OPHTHALMIC,PREDNISONE|dose: 1|TABLET|OPHTHALMIC,13
FOLIC ACID|1|TABLET|ORAL,FOLIC ACID|dose: 1|TABLET|ORAL,13
COLESTID|5|mg|ORAL,COLESTID|dose: 5|mg|ORAL,13
ACUPRIL|10|mg|ORAL,ACUPRIL|dose: 10|mg|ORAL,13
RIOPAN|1.5|mg|ORAL,RIOPAN|dose: 1.5|mg|ORAL,13
MULTIVITAMINS|4|mg|ORAL,MULTIVITAMINS|dose: 4|mg|ORAL,13
LEVOXYL|0.05|mg|ORAL,LEVOXYL|dose: 0.05|mg|ORAL,13
ZOCOR|20|mg|ORAL,ZOCOR|dose: 20|mg|ORAL,13
PRENATAL|1|TABLET|ORAL,PRENATAL|dose: 1|TABLET|ORAL,13
GELATIN|3|mg|ORAL,GELATIN|dose: 3|mg|ORAL,13
IBUPROFEN|300|mg|ORAL,IBUPROFEN|dose: 300|mg|ORAL,13
GLUCOPHAGE|850|mg|ORAL,METFORMIN HYDROCHLORIDE|dose: 850|mg|ORAL,13
ALEVE|500|mg|ORAL,NAPROXEN SODIUM|dose: 500|mg|ORAL,13
BETACAROTENE|2500|mg|ORAL,BETACAROTENE|dose: 2500|mg|ORAL,13
HYTRIN|2|TABLET|ORAL,HYTRIN|dose: 2|TABLET|ORAL,13
ACETAMINOPHEN|2|TABLET|ORAL,ACETAMINOPHEN|dose: 2|TABLET|ORAL,13
DAYPRO|20|mg|ORAL,DAYPRO|dose: 20|mg|ORAL,13
MOTRIN|2|TABLET|ORAL,MOTRIN|dose: 2|TABLET|ORAL,13
LISINOPRIL|10|mg|ORAL,LISINOPRIL|dose: 10|mg|ORAL,13
CALCIUM CARBONATE|2.5|mg|ORAL,CALCIUM CARBONATE|dose: 2.5|mg|ORAL,13
TYLENOL|1000|mg|ORAL,TYLENOL|dose: 1000|mg|ORAL,13
POTASSIUM|99|mg|ORAL,POTASSIUM|dose: 99|mg|ORAL,13
VITAMIN C|2|TABLET|ORAL,VITAMIN C|dose: 2|TABLET|ORAL,13
ESTRACE|0.05|mg|ORAL,ESTRACE|dose: 0.05|mg|ORAL,13
ZESTRIL|2.5|mg|ORAL,ZESTRIL|dose: 2.5|mg|ORAL,13
VITAMIN B12|15|mg|ORAL,VITAMIN B12|dose: 15|mg|ORAL,13
PRAVASTATIN|20|mg|ORAL,PRAVASTATIN|dose: 20|mg|ORAL,12
AEROBID|1|TABLET|RESPIRATORY (INHALATION),AEROBID|dose: 1|TABLET|RESPIRATORY (INHALATION),12
"HYDROCORTISONE, TOPICAL|0||TOPICAL","HYDROCORTISONE, TOPICAL|dose: 0||TOPICAL",12
LESCOL|20|mg|ORAL,FLUVASTATIN|dose: 20|mg|ORAL,12
HOMEOPATIC PREPARATION|2|TABLET|ORAL,HOMEOPATIC PREPARATION|dose: 2|TABLET|ORAL,12
QUINAPRIL|20|mg|ORAL,QUINAPRIL|dose: 20|mg|ORAL,12
ALEVE|220|mg|ORAL,NAPROXEN SODIUM|dose: 220|mg|ORAL,12
ASPIRIN (E.C.)|1|TABLET|ORAL,ASPIRIN (E.C.)|dose: 1|TABLET|ORAL,12
ASPIRIN|2|TABLET|ORAL,ACETYLSALICYLIC ACID|dose: 2|TABLET|ORAL,12
PILOSTAT|1|TABLET|OPHTHALMIC,PILOSTAT|dose: 1|TABLET|OPHTHALMIC,12
VENTOLIN|1|TABLET|RESPIRATORY (INHALATION),SALBUTAMOL SULFATE|dose: 1|TABLET|RESPIRATORY (INHALATION),12
INDOCIN|50|mg|ORAL,INDOCIN|dose: 50|mg|ORAL,12
ALPHAGAN|1|TABLET|OPHTHALMIC,ALPHAGAN|dose: 1|TABLET|OPHTHALMIC,12
DIPYRIDAMOLE|50|mg|ORAL,DIPYRIDAMOLE|dose: 50|mg|ORAL,12
ATROVENT|1|TABLET|RESPIRATORY (INHALATION),IPRATROPIUM BROMIDE|dose: 1|TABLET|RESPIRATORY (INHALATION),12
DIABINESE|250|mg|ORAL,DIABINESE|dose: 250|mg|ORAL,12
ZINC|25|mg|ORAL,ZINC|dose: 25|mg|ORAL,12
HISMANAL|10|mg|ORAL,HISMANAL|dose: 10|mg|ORAL,12
PREMARIN|625|mg|ORAL,ESTROGENS CONJUGATED|dose: 625|mg|ORAL,12
PERDIEM|1|TABLET|ORAL,PERDIEM|dose: 1|TABLET|ORAL,12
"HYDROCORTISONE, TOPICAL|1|TABLET|ORAL","HYDROCORTISONE, TOPICAL|dose: 1|TABLET|ORAL",12
TYLENOL|625|mg|ORAL,TYLENOL|dose: 625|mg|ORAL,12
CARDURA|1|TABLET|ORAL,DOXAZOSIN MESILATE|dose: 1|TABLET|ORAL,12
ADVIL|1|TABLET|ORAL,ADVIL|dose: 1|TABLET|ORAL,12
VITAMIN B12|1|TABLET|ORAL,VITAMIN B12|dose: 1|TABLET|ORAL,12
PREMARIN|0.3|mg|ORAL,ESTROGENS CONJUGATED|dose: 0.3|mg|ORAL,12
CLARITIN|1|TABLET|ORAL,CLARITIN|dose: 1|TABLET|ORAL,11
SULINDAC|150|mg|ORAL,SULINDAC|dose: 150|mg|ORAL,11
FERROUS GLUCONATE|1|TABLET|ORAL,FERROUS GLUCONATE|dose: 1|TABLET|ORAL,11
ESTRADIOL|1|TABLET|ORAL,ESTRADIOL|dose: 1|TABLET|ORAL,11
OS-CAL|1|TABLET|ORAL,OS-CAL|dose: 1|TABLET|ORAL,11
TIMOLOL MALEATE|1|TABLET|OPHTHALMIC,TIMOLOL MALEATE|dose: 1|TABLET|OPHTHALMIC,11
LEVOBUNOLOL|1|TABLET|OPHTHALMIC,LEVOBUNOLOL|dose: 1|TABLET|OPHTHALMIC,11
MULTIVITAMIN|3|mg|ORAL,MULTIVITAMIN|dose: 3|mg|ORAL,11
GLYBURIDE|2.5|mg|ORAL,GLYBURIDE|dose: 2.5|mg|ORAL,11
NASACORT|1|TABLET|RESPIRATORY (INHALATION),NASACORT|dose: 1|TABLET|RESPIRATORY (INHALATION),11
GLUCOTROL|5|mg|ORAL,GLUCOTROL|dose: 5|mg|ORAL,11
METAMUCIL|2|TABLET|ORAL,METAMUCIL|dose: 2|TABLET|ORAL,11
LIDEX|1|TABLET|TOPICAL,LIDEX|dose: 1|TABLET|TOPICAL,11
MEDROXYPROGESTERONE|2.5|mg|ORAL,MEDROXYPROGESTERONE|dose: 2.5|mg|ORAL,11
PERI-COLACE|3|mg|ORAL,PERI-COLACE|dose: 3|mg|ORAL,11
PERSANTINE|50|mg|ORAL,PERSANTINE|dose: 50|mg|ORAL,10
ORUDIS KT|2|TABLET|ORAL,ORUDIS KT|dose: 2|TABLET|ORAL,10
LODINE|500|mg|ORAL,LODINE|dose: 500|mg|ORAL,10
HERBAL PREPARATION|3|mg|ORAL,HERBAL PREPARATION|dose: 3|mg|ORAL,10
GLUCOPHAGE|1500|mg|ORAL,METFORMIN HYDROCHLORIDE|dose: 1500|mg|ORAL,10
VITAMINS WITH MINERALS|1|TABLET|ORAL,VITAMINS WITH MINERALS|dose: 1|TABLET|ORAL,10
ACCUPRIL|1|TABLET|ORAL,ACCUPRIL|dose: 1|TABLET|ORAL,10
FUROSEMIDE|20|mg|ORAL,FUROSEMIDE|dose: 20|mg|ORAL,10
CALCIUM CARBONATE|1|TABLET|ORAL,CALCIUM CARBONATE|dose: 1|TABLET|ORAL,10
BUFFERIN|650|mg|ORAL,BUFFERIN|dose: 650|mg|ORAL,10
ALBUTEROL|2|TABLET|RESPIRATORY (INHALATION),ALBUTEROL|dose: 2|TABLET|RESPIRATORY (INHALATION),10
MULTIVITAMIN|2|TABLET|ORAL,MULTIVITAMIN|dose: 2|TABLET|ORAL,10
HYTRIN|5|mg|ORAL,HYTRIN|dose: 5|mg|ORAL,10
NASAL SPRAY|1|TABLET|RESPIRATORY (INHALATION),NASAL SPRAY|dose: 1|TABLET|RESPIRATORY (INHALATION),10
IBUPROFEN|2|TABLET|ORAL,IBUPROFEN|dose: 2|TABLET|ORAL,10
SENOKOT|1|TABLET|ORAL,SENOKOT|dose: 1|TABLET|ORAL,10
CORTISONE|10|mg|TOPICAL,CORTISONE|dose: 10|mg|TOPICAL,10
PERDIEM|2.5|mg|ORAL,PERDIEM|dose: 2.5|mg|ORAL,10
TYLENOL SINUS|60|mg|ORAL,TYLENOL SINUS|dose: 60|mg|ORAL,10
HUMULIN N|20|mg|SUBCUTANEOUS,HUMULIN N|dose: 20|mg|SUBCUTANEOUS,9
"HYDROCORTISONE, TOPICAL|0.5|mg|TOPICAL","HYDROCORTISONE, TOPICAL|dose: 0.5|mg|TOPICAL",9
NITRO PATCH|9.6|mg|TRANSDERMAL,NITRO PATCH|dose: 9.6|mg|TRANSDERMAL,9
LESCOL|5|mg|ORAL,FLUVASTATIN|dose: 5|mg|ORAL,9
CORTISONE|0|mg|SUBCUTANEOUS,CORTISONE|dose: 0|mg|SUBCUTANEOUS,9
ASCRIPTIN|325|mg|ORAL,ASCRIPTIN|dose: 325|mg|ORAL,9
METAMUCIL|3|mg|ORAL,METAMUCIL|dose: 3|mg|ORAL,9
KENALOG|1|TABLET|TOPICAL,KENALOG|dose: 1|TABLET|TOPICAL,9
CAPOTEN|25|mg|ORAL,CAPOTEN|dose: 25|mg|ORAL,9
PREDNISONE|5|mg|ORAL,PREDNISONE|dose: 5|mg|ORAL,9
SYNTHROID|25|mg|ORAL,SYNTHROID|dose: 25|mg|ORAL,9
SUDAFED|30|mg|ORAL,SUDAFED|dose: 30|mg|ORAL,9
PRILOSEC|10|mg|ORAL,PRILOSEC|dose: 10|mg|ORAL,9
IMODIUM|2|TABLET|ORAL,LOPERAMIDE HYDROCHLORIDE|dose: 2|TABLET|ORAL,9
PILOCARPINE HYDROCHLORIDE|4|mg|OPHTHALMIC,PILOCARPINE HYDROCHLORIDE|dose: 4|mg|OPHTHALMIC,9
PRINIVIL|20|mg|ORAL,PRINIVIL|dose: 20|mg|ORAL,9
VITAMIN A|1250|mg|ORAL,VITAMIN A|dose: 1250|mg|ORAL,9
MAALOX|30|mg|ORAL,ALGELDRATE|dose: 30|mg|ORAL,9
VITAMIN D|135|mg|ORAL,VITAMIN D|dose: 135|mg|ORAL,9
CORTISONE|2.5|mg|TOPICAL,CORTISONE|dose: 2.5|mg|TOPICAL,9
VENTOLIN|10|mg|RESPIRATORY (INHALATION),SALBUTAMOL SULFATE|dose: 10|mg|RESPIRATORY (INHALATION),8
ULTRAM|50|mg|ORAL,ULTRAM|dose: 50|mg|ORAL,8
TRILISATE|1000|mg|ORAL,TRILISATE|dose: 1000|mg|ORAL,8
KEFLEX|500|mg|ORAL,KEFLEX|dose: 500|mg|ORAL,8
POTASSIUM|10|mg|ORAL,POTASSIUM|dose: 10|mg|ORAL,8
LASIX|20|mg|ORAL,FUROSEMIDE|dose: 20|mg|ORAL,8
ROBITUSSIN|1|TABLET|ORAL,ROBITUSSIN|dose: 1|TABLET|ORAL,8
MINERALS NOS|15|mg|ORAL,MINERALS NOS|dose: 15|mg|ORAL,8
BECONASE|2|TABLET|NASAL,BECONASE|dose: 2|TABLET|NASAL,8
ALTACE|5|mg|ORAL,ALTACE|dose: 5|mg|ORAL,8
VANCENASE|2|TABLET|RESPIRATORY (INHALATION),VANCENASE|dose: 2|TABLET|RESPIRATORY (INHALATION),8
AEROBID|2|TABLET|RESPIRATORY (INHALATION),AEROBID|dose: 2|TABLET|RESPIRATORY (INHALATION),8
CORTISONE|0||TOPICAL,CORTISONE|dose: 0||TOPICAL,8
VITAMIN E|2000|mg|ORAL,VITAMIN E|dose: 2000|mg|ORAL,8
ADALAT|90|mg|ORAL,NIFEDIPINE|dose: 90|mg|ORAL,8
"FIBRE, DIETARY|1|TABLET|ORAL","FIBRE, DIETARY|dose: 1|TABLET|ORAL",8
PROCARDIA|60|mg|ORAL,PROCARDIA|dose: 60|mg|ORAL,8
TEARS NATURALE|2|TABLET|OPHTHALMIC,TEARS NATURALE|dose: 2|TABLET|OPHTHALMIC,8
BENZALKONIUM CHLORIDE|1|TABLET|OPHTHALMIC,BENZALKONIUM CHLORIDE|dose: 1|TABLET|OPHTHALMIC,8
IBUPROFEN|800|mg|ORAL,IBUPROFEN|dose: 800|mg|ORAL,8
SYNTHROID|0.05|mg|ORAL,SYNTHROID|dose: 0.05|mg|ORAL,8
ANTI-OXIDANT|1|TABLET|ORAL,ANTI-OXIDANT|dose: 1|TABLET|ORAL,8
LOTENSIN|10|mg|ORAL,LOTENSIN|dose: 10|mg|ORAL,8
DOCUSATE|2|TABLET|ORAL,DOCUSATE|dose: 2|TABLET|ORAL,8
ACCUPRIL|10|mg|ORAL,ACCUPRIL|dose: 10|mg|ORAL,8
CALCIUM|4|mg|ORAL,CALCIUM|dose: 4|mg|ORAL,8
OCUPRESS|1|TABLET|OPHTHALMIC,OCUPRESS|dose: 1|TABLET|OPHTHALMIC,8
VITAMIN B6|50|mg|ORAL,VITAMIN B6|dose: 50|mg|ORAL,8
